layer,unit,description
layer2,73,Circular objects
layer2,74,A grid-like pattern
layer2,75,Circles
layer2,76,Spots of the color white
layer2,77,Stripes
layer2,78,Circular dots
layer2,79,Diagonal lines
layer2,80,Honeycomb and lattice objects
layer2,81,Similar patterns
layer2,82,Layered part of all objects
layer2,83,Spots of the color white
layer2,84,Red and orange objects
layer2,85,White dots
layer2,86,Red and orange objects
layer2,87,Grids
layer2,88,Black and white color combination
layer2,89,Center of flowers
layer2,90,Striped objects
layer2,91,Numbers and letters
layer2,92,Circular objects
layer2,93,Spots of the color white
layer2,94,Green dots
layer2,95,Edges of objects
layer2,96,Red and white colored objects
layer2,97,Plant life
layer2,98,Numbers and letters of all objects
layer2,99,The eyes and eyes of animals
layer2,100,Balls and other circles
layer2,101,Vertical lines
layer2,102,Edges of objects
layer2,103,Red and orange objects
layer2,104,Pink dots
layer2,105,Spots of the color white
layer2,106,Animal eyes
layer2,107,Items that are knitted and cheetahs
layer2,108,Letters on a sign
layer2,109,Circles
layer2,110,Red colored objects
layer2,111,Spots of the color white and red
layer2,112,Diagonal lines
layer2,113,The left side of objects
layer2,114,Yellow dots
layer2,115,Small dots
layer2,116,The area under lines
layer2,117,Stripes
layer2,118,Flower petals
layer2,119,The center of flowers
layer2,120,Text
layer2,121,Spots of the color white
layer2,122,Circular objects
layer2,123,Black and white color combination
layer2,124,Spots of the color white
layer2,125,Red lights
layer2,126,Dots on lights
layer2,127,Circles
layer3,0,Text
layer3,1,Animals and circular objects
layer3,2,Green areas in picture
layer3,3,Red objects
layer3,4,Legs of animals
layer3,5,Circles
layer3,6,Beaks of birds
layer3,7,Food
layer3,8,Birds
layer3,9,Circular objects and wheels
layer3,10,Brighter areas in objects
layer3,11,Black and white color combination
layer3,12,Animal heads
layer3,13,Dog heads
layer3,14,Eyes of animals
layer3,15,Center part of flowers
layer3,16,Animal noses
layer3,17,Text
layer3,18,Circular objects
layer3,19,The color white
layer3,20,The top of towers
layer3,21,Striped and checkered objects
layer3,22,Dog heads
layer3,23,Balls and circles balls
layer3,24,Faces of people wearing hats
layer3,25,Edges of objects
layer3,26,The sky
layer3,27,The sky and trees
layer3,28,Circular objects
layer3,29,Circles
layer3,30,The tops of objects
layer3,31,Animal heads
layer3,32,Dog heads
layer3,33,Red objects
layer3,34,Circular objects
layer3,35,Dog heads
layer3,36,Eyes of animals
layer3,37,Red objects
layer3,38,Cylindrical objects
layer3,39,Blue objects
layer3,40,Hats
layer3,41,Animals and flowers
layer3,42,Circular objects
layer3,43,Faces
layer3,44,A orange objects
layer3,45,Similar patterns
layer3,46,Items that are knitted and cheetahs
layer3,47,The bottom of circles
layer3,48,Circles
layer3,49,Black and white colored objects
layer3,50,Dog heads
layer3,51,Circular objects
layer3,52,Circular objects
layer3,53,Circles
layer3,54,Black and white stripes
layer3,55,Circular items
layer3,56,Metal tubes
layer3,57,Faces of things
layer3,58,Dog noses
layer3,59,Diagonal lines
layer3,60,Circles
layer3,61,Dog heads
layer3,62,Dog heads
layer3,63,Animals
layer3,64,Dog heads
layer3,65,Circular objects
layer3,66,Circular objects
layer3,67,Center part of flowers
layer3,68,Yellow objects
layer3,69,Circles
layer3,70,The sky
layer3,71,The sky
layer3,72,Rounded objects
layer3,73,Human hands
layer3,74,Dogs and guinea pig
layer3,75,Center part of all objects
layer3,76,Dog heads
layer3,77,Circular objects
layer3,78,The center part of flowers
layer3,79,Center part of flowers
layer3,80,Objects with polka dots and checker patterns
layer3,81,Circular objects
layer3,82,Dog heads
layer3,83,Circles
layer3,84,Dog heads
layer3,85,Honeycomb and honeycomb patterns
layer3,86,Dog heads
layer3,87,Dog heads
layer3,88,Circular objects
layer3,89,Layered part of all objects
layer3,90,Yellow objects
layer3,91,Diagonal lines
layer3,92,The tops of objects
layer3,93,Poles
layer3,94,Dog faces
layer3,95,Clothes
layer3,96,Circular objects
layer3,97,Dog heads
layer3,98,The top of a tower
layer3,99,Rounded edges in pictures
layer3,100,Animal heads
layer3,101,Spots of the color white
layer3,102,Circular objects and animals
layer3,103,Red and blue objects
layer3,104,Buttons and keyboards
layer3,105,Bird heads and beaks
layer3,106,Produce
layer3,107,Circular objects
layer3,108,The left side of the object
layer3,109,Rounded edges in pictures
layer3,110,Dog heads
layer3,111,Stripes
layer3,112,The faces of animals
layer3,113,Stripes
layer3,114,Circular objects
layer3,115,Red florals
layer3,116,Dog heads
layer3,117,White backgrounds
layer3,118,Center part of flowers and flowers
layer3,119,Circular objects
layer3,120,Animal eyes
layer3,121,Black and white colored objects
layer3,122,Diagonal lines
layer3,123,Circular objects
layer3,124,Metal objects
layer3,125,Stripes
layer3,126,Rounded edges in pictures
layer3,127,Faces
layer3,128,Dogs
layer3,129,Circles
layer3,130,Striped objects
layer3,131,Dog heads
layer3,132,Circular objects
layer3,133,The tops of buildings
layer3,134,Circular objects
layer3,135,Birds
layer3,136,Dog heads
layer3,137,Faces
layer3,138,The bottom of a object
layer3,139,Striped objects
layer3,140,Fruits and balls
layer3,141,Dog heads
layer3,142,Red and white objects
layer3,143,People
layer3,144,The tops of objects
layer3,145,Circular objects
layer3,146,Black and white colored objects
layer3,147,Animals and people
layer3,148,Red colored objects
layer3,149,Animal heads
layer3,150,Circles
layer3,151,Yellow and orange objects
layer3,152,Red objects
layer3,153,The center part of flowers
layer3,154,Poles
layer3,155,Red objects
layer3,156,Circular objects
layer3,157,Dog heads
layer3,158,Rounded edges in pictures
layer3,159,Dog heads
layer3,160,Green objects
layer3,161,Animal heads
layer3,162,Horizontal lines
layer3,163,Faces of animals
layer3,164,Car wheels
layer3,165,Stripes
layer3,166,Dog faces
layer3,167,Metal objects
layer3,168,Dog faces
layer3,169,The top of objects
layer3,170,Faces of people
layer3,171,Red colored objects
layer3,172,Dog heads
layer3,173,Animal ears
layer3,174,Dog noses
layer3,175,The top of objects
layer3,176,Center part of flowers
layer3,177,Dog heads
layer3,178,Stripes
layer3,179,Animal ears
layer3,180,Stripes
layer3,181,Animal heads
layer3,182,Rounded edges in pictures
layer3,183,Dog faces
layer3,184,Dog heads
layer3,185,The color white
layer3,186,Dog faces
layer3,187,The sky
layer3,188,Dog noses
layer3,189,Circular objects
layer3,190,Metal objects
layer3,191,Animals and food
layer3,192,Circles
layer3,193,Circular objects
layer3,194,Faces of animals
layer3,195,Circular objects
layer3,196,People
layer3,197,Similar color patterns
layer3,198,Dog noses
layer3,199,Dog heads
layer3,200,Clothing
layer3,201,Similar color patterns
layer3,202,Red circles
layer3,203,Dog faces
layer3,204,Dog heads
layer3,205,Beaks
layer3,206,Animal heads
layer3,207,The tops of objects
layer3,208,Circular objects
layer3,209,Edges of objects
layer3,210,Rounded edges in pictures
layer3,211,Animal heads
layer3,212,Faces
layer3,213,The bottom of circles
layer3,214,Beaks of birds
layer3,215,The top part of rectangular objects
layer3,216,Animal heads
layer3,217,Circular objects
layer3,218,People 's legs
layer3,219,Green plants
layer3,220,Faces
layer3,221,Circular objects
layer3,222,Animals and orange dots
layer3,223,Dog heads
layer3,224,Diagonal lines
layer3,225,Dog heads
layer3,226,Black and white color combination
layer3,227,Animal noses
layer3,228,Orange colored objects
layer3,229,The sky
layer3,230,The bottom of circles
layer3,231,Flowers
layer3,232,Human legs
layer3,233,Wheels
layer3,234,The corners of objects
layer3,235,Circular objects
layer3,236,Diagonal lines
layer3,237,Dog ears
layer3,238,Purple flowers
layer3,239,Trees
layer3,240,Circular objects
layer3,241,Lights in the hollowed ideas
layer3,242,Red and blue objects
layer3,243,Fruits and balls balls
layer3,244,Rounded edges in pictures
layer3,245,Animal heads
layer3,246,Dog heads
layer3,247,Rounded edges in pictures
layer3,248,The tops of buildings
layer3,249,Eyes of animals
layer3,250,Rounded edges in pictures
layer3,251,Animal heads
layer3,252,The bottom right of a circle
layer3,253,Dog heads
layer3,254,Eyes of animals
layer3,255,Dog faces
layer4,0,Faces of animals
layer4,1,Shelves and books
layer4,2,"Objects with led, text, and circular objects"
layer4,3,Rounded objects
layer4,4,Animals
layer4,5,Dresses
layer4,6,Musical instruments and leashes
layer4,7,Water
layer4,8,Metal objects
layer4,9,Animals
layer4,10,Birds
layer4,11,Human hands
layer4,12,Rounded edges in pictures
layer4,13,Food
layer4,14,Animals and circular objects
layer4,15,The tops of cathedrals
layer4,16,Red objects
layer4,17,Insects
layer4,18,A bumpy texture
layer4,19,Animal heads
layer4,20,Balls
layer4,21,"Animals, boas and flowers"
layer4,22,Metal objects
layer4,23,Cubed objects
layer4,24,Metal objects
layer4,25,Horns of animals
layer4,26,Food
layer4,27,The ground
layer4,28,Animals
layer4,29,Rounded objects
layer4,30,The indent in an hourglass shape
layer4,31,Animals
layer4,32,Vehicles
layer4,33,Clocks and speedometer
layer4,34,Animals
layer4,35,Animals
layer4,36,Circular objects
layer4,37,Aquatic life
layer4,38,Metal objects
layer4,39,Bodies of water
layer4,40,The indent in an hourglass shape
layer4,41,Diagonal lines
layer4,42,Brown dogs
layer4,43,Animals in the grass
layer4,44,Cylindrical objects
layer4,45,Hats
layer4,46,Black and white colored objects
layer4,47,Items with straight features
layer4,48,Beaks and birds
layer4,49,Animals
layer4,50,Animals and furniture
layer4,51,Animals
layer4,52,Balls
layer4,53,Metal objects
layer4,54,Birds
layer4,55,Animals
layer4,56,Water
layer4,57,Items that are connected
layer4,58,Animals and food
layer4,59,Bugs
layer4,60,Animals
layer4,61,Diagonal lines
layer4,62,People and animals
layer4,63,Rounded objects
layer4,64,Animals
layer4,65,Bugs
layer4,66,Items with straight features
layer4,67,Birds and dogs
layer4,68,Green objects
layer4,69,Animals
layer4,70,Items that are curved
layer4,71,Bottles
layer4,72,Rounded edges in pictures
layer4,73,Circular objects
layer4,74,Similar patterns
layer4,75,The pointy tops of urn containers
layer4,76,Animals and circular objects
layer4,77,Items with straight features
layer4,78,Food items and animals
layer4,79,Items with straight features
layer4,80,Red objects
layer4,81,The ground
layer4,82,The indent in an hourglass shape
layer4,83,Dogs
layer4,84,Items with straight features
layer4,85,Rounded edges in pictures
layer4,86,Animals and flowers
layer4,87,Items with designs
layer4,88,Vehicles
layer4,89,Edges of objects
layer4,90,Rounded edges in pictures
layer4,91,"Long, thin objects"
layer4,92,Animals
layer4,93,Red objects
layer4,94,Rounded edges in pictures
layer4,95,Faces of people
layer4,96,The bottoms of objects
layer4,97,"People, buildings"
layer4,98,Animals
layer4,99,Faces
layer4,100,Brown dogs
layer4,101,Nature
layer4,102,"Insect, animal"
layer4,103,Rounded edges in pictures
layer4,104,Ships and smoke
layer4,105,Text on a web page
layer4,106,People
layer4,107,Rounded edges in pictures
layer4,108,The indent in an hourglass shape
layer4,109,Black and white objects
layer4,110,Animals
layer4,111,Walkways
layer4,112,Animals and circular objects
layer4,113,Cubed objects
layer4,114,"Person, food"
layer4,115,Animals
layer4,116,Furniture
layer4,117,Edges of objects
layer4,118,Stone structures
layer4,119,Items with straight features
layer4,120,Items that are curved
layer4,121,Keyboards of laptops
layer4,122,Balls and sectioned objects
layer4,123,Similar patterns
layer4,124,Brown dogs
layer4,125,Faces of people
layer4,126,Food
layer4,127,Dog faces
layer4,128,The ocean
layer4,129,The middle of objects
layer4,130,Bottles
layer4,131,Items with straight features
layer4,132,Bugs
layer4,133,Animals
layer4,134,Red colored objects
layer4,135,Bugs
layer4,136,Animals
layer4,137,Candles
layer4,138,Rounded edges in pictures
layer4,139,Red and blue objects
layer4,140,Furniture
layer4,141,Animals and yellow objects
layer4,142,Animals
layer4,143,Circular objects
layer4,144,Animals and circular objects
layer4,145,Bottles
layer4,146,Animals
layer4,147,Candle in the hollowed ideas
layer4,148,"Animal, insect, animal"
layer4,149,Items with straight features
layer4,150,Animals and circular objects
layer4,151,Wooden objects
layer4,152,Animals
layer4,153,Dog ears
layer4,154,The middle of objects
layer4,155,Circular objects
layer4,156,Animals
layer4,157,Animals
layer4,158,Animals and circular objects
layer4,159,Animals
layer4,160,Computer screens
layer4,161,Rounded edges in pictures
layer4,162,Edges of objects
layer4,163,Black and white colored objects
layer4,164,Diagonal lines
layer4,165,Neck braces
layer4,166,Animals and snow
layer4,167,Animals
layer4,168,"Gusher of water, water"
layer4,169,Keyboards
layer4,170,Bugs
layer4,171,Circular objects
layer4,172,Animals
layer4,173,Animals
layer4,174,The middle of objects
layer4,175,Rounded edges in pictures
layer4,176,People holding objects
layer4,177,Wheels and legs
layer4,178,Pineapples and flowers
layer4,179,Circular objects
layer4,180,Circular objects
layer4,181,Textured areas
layer4,182,Birds
layer4,183,Similar color patterns
layer4,184,Dogs and people
layer4,185,Items that are connected
layer4,186,"Long, thin objects"
layer4,187,Animal heads
layer4,188,Computer keys on a keyboard
layer4,189,Animals
layer4,190,Musical instruments
layer4,191,Items with straight features
layer4,192,Cubed objects
layer4,193,Nature
layer4,194,Diagonal lines
layer4,195,Rounded edges in pictures
layer4,196,Items with designs
layer4,197,Diagonal lines
layer4,198,Rounded edges in pictures
layer4,199,Insects
layer4,200,Rounded edges in pictures
layer4,201,Items with straight features
layer4,202,Animals in the grass
layer4,203,Water towers
layer4,204,Green grass
layer4,205,Black and white stripes
layer4,206,Rounded edges in pictures
layer4,207,Animals
layer4,208,Items with straight features
layer4,209,Insects
layer4,210,Circular objects
layer4,211,"The sky, balls, water tower"
layer4,212,Edges of teapots and mugs
layer4,213,Animals
layer4,214,Sea creatures and animals
layer4,215,Rounded objects
layer4,216,Cubed objects
layer4,217,Animals
layer4,218,Animals and mushrooms
layer4,219,Animals and clothes
layer4,220,Rounded objects
layer4,221,"A tennis ball a pet is playing with, a kid blowing bubbles"
layer4,222,Items that are curved
layer4,223,Bugs
layer4,224,Boxes
layer4,225,Items that are curved
layer4,226,Volcanoes and mountains
layer4,227,Black instruments
layer4,228,Animals
layer4,229,Rounded edges in pictures
layer4,230,Rounded edges in pictures
layer4,231,Rounded edges in pictures
layer4,232,Animals and vehicles
layer4,233,Mouths
layer4,234,Similar color patterns
layer4,235,Faces of people
layer4,236,Clothing
layer4,237,Animals
layer4,238,A man holding a flute
layer4,239,Musical instruments
layer4,240,Animals and clothes
layer4,241,Clothes
layer4,242,Dogs
layer4,243,Rounded edges in pictures
layer4,244,Animals and circular objects
layer4,245,Birds
layer4,246,Snakes
layer4,247,Similar color patterns
layer4,248,Clocks and other gauges
layer4,249,Textured areas
layer4,250,"Mountain, cliff, rock, rock"
layer4,251,Animals
layer4,252,"Human hands engaged, flute instruments, and instruments"
layer4,253,Black and white objects
layer4,254,Animals
layer4,255,The middle of objects
layer4,256,Animals
layer4,257,Rounded edges in pictures
layer4,258,Rounded edges in pictures
layer4,259,Animals and food
layer4,260,Items that are connected
layer4,261,Circular objects
layer4,262,Skinny poles
layer4,263,Animals and food
layer4,264,Rounded objects
layer4,265,Bridges
layer4,266,Dogs
layer4,267,Porcelain and brown objects
layer4,268,Items with straight features
layer4,269,Animals and circular objects
layer4,270,Rounded edges in pictures
layer4,271,Animals
layer4,272,Balls
layer4,273,Neon lights
layer4,274,Mouths of animals
layer4,275,Items with straight features
layer4,276,Animals and screens
layer4,277,"Ships, water, smoke"
layer4,278,Rounded objects
layer4,279,Sunglasses
layer4,280,Animals
layer4,281,Similar color patterns
layer4,282,Animals
layer4,283,Snow and blue skies
layer4,284,Birds and butterflies
layer4,285,Animals
layer4,286,Animals and circular objects
layer4,287,"Person, leash"
layer4,288,Fire
layer4,289,Human mouths
layer4,290,China cabinet
layer4,291,Clothing
layer4,292,Animals
layer4,293,Animals
layer4,294,Red and orange objects
layer4,295,Triangular shapes
layer4,296,Rectangular objects
layer4,297,Animals
layer4,298,Motorcycles
layer4,299,Similar color patterns
layer4,300,White objects
layer4,301,Animals
layer4,302,Necks of an object
layer4,303,Grids
layer4,304,Textured areas
layer4,305,Birds
layer4,306,Round objects
layer4,307,Bridges
layer4,308,Animals and orange
layer4,309,Animals
layer4,310,Nature
layer4,311,Animals
layer4,312,Buildings and poles
layer4,313,Animals
layer4,314,Rounded objects
layer4,315,Water towers and animals
layer4,316,Animals
layer4,317,Animals and circular objects
layer4,318,Animals
layer4,319,Poles
layer4,320,Items with straight features
layer4,321,Planes in the sky and planes
layer4,322,Rounded objects
layer4,323,Animals
layer4,324,Bugs
layer4,325,Shower caps
layer4,326,Rounded objects
layer4,327,Edges of teapots and mugs
layer4,328,Items with straight features
layer4,329,Diagonal lines
layer4,330,Vehicles and roads
layer4,331,Animals and food
layer4,332,Musical instruments and leashes
layer4,333,Animals
layer4,334,Candle in the hollowed ideas
layer4,335,Similar color patterns
layer4,336,Items with straight features
layer4,337,Similar color patterns
layer4,338,Rounded edges in pictures
layer4,339,Items with designs
layer4,340,Birds and orange objects
layer4,341,Similar patterns
layer4,342,Round objects
layer4,343,Human hands
layer4,344,Birds
layer4,345,Animals
layer4,346,Animals
layer4,347,Cylindrical objects
layer4,348,Rounded objects
layer4,349,Flags
layer4,350,People and turtles
layer4,351,Circular objects
layer4,352,Animals
layer4,353,People and flowers
layer4,354,A tent
layer4,355,Food
layer4,356,Items with straight features
layer4,357,A bumpy texture
layer4,358,Animals
layer4,359,Circular objects
layer4,360,Edges of objects
layer4,361,Animals and sticks
layer4,362,Clocks and speedometer
layer4,363,Metal objects
layer4,364,Items with circular features
layer4,365,Bowties
layer4,366,Circular objects
layer4,367,Faces of people
layer4,368,Electronics
layer4,369,Faces of animals
layer4,370,Food
layer4,371,Living things
layer4,372,Animals
layer4,373,Electronics
layer4,374,Vertical line patterns
layer4,375,Animals and planes
layer4,376,Rounded edges in pictures
layer4,377,Musical instruments
layer4,378,Animals
layer4,379,Birds
layer4,380,Rounded edges in pictures
layer4,381,Books and teeth
layer4,382,Items with straight features
layer4,383,Insects
layer4,384,Faces of people
layer4,385,Water and water related
layer4,386,Metal objects
layer4,387,Birds
layer4,388,Items with designs
layer4,389,Similar color patterns
layer4,390,Similar color patterns
layer4,391,"Text on a page, watches, watches and clocks"
layer4,392,Striped objects
layer4,393,"Animal, person, a chainlink fence, a chainlink fence"
layer4,394,Vehicles
layer4,395,Flags
layer4,396,Birds
layer4,397,Human hands
layer4,398,Aquatic life
layer4,399,Animals
layer4,400,Green objects
layer4,401,People holding objects
layer4,402,Mouths of animals
layer4,403,Musical instruments
layer4,404,Walls and corners
layer4,405,Bottles
layer4,406,Round objects
layer4,407,Dog heads
layer4,408,Circular objects
layer4,409,Dog legs
layer4,410,Animals
layer4,411,"Insect, animal"
layer4,412,Cylindrical objects
layer4,413,Red and orange objects
layer4,414,Similar patterns
layer4,415,Animals
layer4,416,Similar color patterns
layer4,417,Insects
layer4,418,Dog faces
layer4,419,Similar color patterns
layer4,420,Food
layer4,421,Animals
layer4,422,Birds
layer4,423,Items with straight features
layer4,424,Animals in the water
layer4,425,Animals
layer4,426,Pools
layer4,427,Vehicles and animals
layer4,428,Reflective surfaces
layer4,429,Dog heads
layer4,430,Musical instruments
layer4,431,Diagonal lines
layer4,432,Animals
layer4,433,Pictures of animal
layer4,434,Animals
layer4,435,Red skies
layer4,436,Brown dogs
layer4,437,Rounded edges in pictures
layer4,438,Things shaped like a rod
layer4,439,Rounded edges in pictures
layer4,440,Circular objects
layer4,441,Animals and sticks
layer4,442,"Long, thin objects"
layer4,443,Items with straight features
layer4,444,Items that are connected
layer4,445,Animals
layer4,446,Beds
layer4,447,Arches
layer4,448,Birds
layer4,449,Purple accented items
layer4,450,Items with designs
layer4,451,Brown animals
layer4,452,Faces of animals
layer4,453,Metal objects
layer4,454,Similar color patterns
layer4,455,"Long, thin, rod-like objects"
layer4,456,Rounded edges in pictures
layer4,457,Rounded edges in pictures
layer4,458,Shower caps
layer4,459,Elephants
layer4,460,Aquatic life
layer4,461,Diagonal lines
layer4,462,Animals and circular objects
layer4,463,Animals and circular objects
layer4,464,"Long, thin objects"
layer4,465,Circular objects
layer4,466,Insects
layer4,467,Items with straight features
layer4,468,Shower caps
layer4,469,Butterflies and butterflies
layer4,470,Bugs
layer4,471,Animals
layer4,472,Rounded edges in pictures
layer4,473,Animals and circular objects
layer4,474,Animals
layer4,475,Human instruments
layer4,476,Bugs
layer4,477,Items with straight features
layer4,478,Animals
layer4,479,Lights and signs
layer4,480,Water
layer4,481,Faces of things
layer4,482,Items with straight features
layer4,483,Animals
layer4,484,Books
layer4,485,Rounded edges in pictures
layer4,486,Birds
layer4,487,Items that are curved
layer4,488,Pools
layer4,489,Animals and domes
layer4,490,Animals and flowers
layer4,491,Items with straight features
layer4,492,Birds
layer4,493,Animals
layer4,494,Black and white objects
layer4,495,Human hands
layer4,496,Similar color patterns
layer4,497,Striped objects
layer4,498,Human mouths
layer4,499,Diagonal lines
layer4,500,Similar color patterns
layer4,501,Reflective surfaces
layer4,502,Similar color patterns
layer4,503,Clocks and other gauges
layer4,504,Animals and butterflies
layer4,505,Similar color patterns
layer4,506,Rounded edges in pictures
layer4,507,Items with straight features
layer4,508,Birds and towers
layer4,509,"Gusher of water, ship"
layer4,510,Water
layer4,511,Birds
